PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,SurvivedStr,FareLog2
1,0,3,male,22.0,1,0,7.25,S,No,2.8579809951275723
5,0,3,male,35.0,0,0,8.05,S,No,3.0089887832272546
7,0,1,male,54.0,0,0,51.8625,S,No,5.696619846984288
8,0,3,male,2.0,3,1,21.075,S,No,4.39746072605472
13,0,3,male,20.0,0,0,8.05,S,No,3.0089887832272546
14,0,3,male,39.0,1,5,31.275,S,No,4.966937979278457
15,0,3,female,14.0,0,0,7.8542,S,No,2.97346433537819
17,0,3,male,2.0,4,1,29.125,Q,No,4.864186144654281
19,0,3,female,31.0,1,0,18.0,S,No,4.169925001442312
21,0,2,male,35.0,0,0,26.0,S,No,4.700439718141092
25,0,3,female,8.0,3,1,21.075,S,No,4.39746072605472
28,0,1,male,19.0,3,2,263.0,S,No,8.038918989292302
31,0,1,male,40.0,0,0,27.7208,C,No,4.792896987982205
34,0,2,male,66.0,0,0,10.5,S,No,3.3923174227787602
35,0,1,male,28.0,1,0,82.1708,C,No,6.360553907537344
36,0,1,male,42.0,1,0,52.0,S,No,5.700439718141092
38,0,3,male,21.0,0,0,8.05,S,No,3.0089887832272546
39,0,3,female,18.0,2,0,18.0,S,No,4.169925001442312
41,0,3,female,40.0,1,0,9.475,S,No,3.2441259432837293
42,0,2,female,27.0,1,0,21.0,S,No,4.392317422778761
50,0,3,female,18.0,1,0,17.8,S,No,4.153805336079036
51,0,3,male,7.0,4,1,39.6875,S,No,5.310612781659528
52,0,3,male,21.0,0,0,7.8,S,No,2.963474123974886
55,0,1,male,65.0,0,1,61.9792,C,No,5.953712228264519
58,0,3,male,28.5,0,0,7.2292,C,No,2.8538360040379223
60,0,3,male,11.0,5,2,46.9,S,No,5.551516017628014
61,0,3,male,22.0,0,0,7.2292,C,No,2.8538360040379223
63,0,1,male,45.0,1,0,83.475,S,No,6.383272283175753
64,0,3,male,4.0,3,2,27.9,S,No,4.802193216941825
68,0,3,male,19.0,0,0,8.1583,S,No,3.028268559417084
70,0,3,male,26.0,2,0,8.6625,S,No,3.1147834472498515
71,0,2,male,32.0,0,0,10.5,S,No,3.3923174227787602
72,0,3,female,16.0,5,2,46.9,S,No,5.551516017628014
73,0,2,male,21.0,0,0,73.5,S,No,6.199672344836364
74,0,3,male,26.0,1,0,14.4542,C,No,3.8534168567309104
76,0,3,male,25.0,0,0,7.65,S,No,2.9354597478052895
81,0,3,male,22.0,0,0,9.0,S,No,3.169925001442312
84,0,1,male,28.0,0,0,47.1,S,No,5.5576551547254205
87,0,3,male,16.0,1,3,34.375,S,No,5.103287808412022
90,0,3,male,24.0,0,0,8.05,S,No,3.0089887832272546
91,0,3,male,29.0,0,0,8.05,S,No,3.0089887832272546
92,0,3,male,20.0,0,0,7.8542,S,No,2.97346433537819
93,0,1,male,46.0,1,0,61.175,S,No,5.934870291192027
94,0,3,male,26.0,1,2,20.575,S,No,4.362820525534263
95,0,3,male,59.0,0,0,7.25,S,No,2.8579809951275723
97,0,1,male,71.0,0,0,34.6542,C,No,5.114958308778566
100,0,2,male,34.0,1,0,26.0,S,No,4.700439718141092
101,0,3,female,28.0,0,0,7.8958,S,No,2.981085446903925
103,0,1,male,21.0,0,1,77.2875,S,No,6.27216319537305
104,0,3,male,33.0,0,0,8.6542,S,No,3.113400462067183
105,0,3,male,37.0,2,0,7.925,S,No,2.986410935252045
106,0,3,male,28.0,0,0,7.8958,S,No,2.981085446903925
109,0,3,male,38.0,0,0,7.8958,S,No,2.981085446903925
111,0,1,male,47.0,0,0,52.0,S,No,5.700439718141092
112,0,3,female,14.5,1,0,14.4542,C,No,3.8534168567309104
113,0,3,male,22.0,0,0,8.05,S,No,3.0089887832272546
114,0,3,female,20.0,1,0,9.825,S,No,3.296457407371244
115,0,3,female,17.0,0,0,14.4583,C,No,3.8538260257551937
116,0,3,male,21.0,0,0,7.925,S,No,2.986410935252045
117,0,3,male,70.5,0,0,7.75,Q,No,2.9541963103868754
118,0,2,male,29.0,1,0,21.0,S,No,4.392317422778761
119,0,1,male,24.0,0,1,247.5208,C,No,7.951405954546675
120,0,3,female,2.0,4,2,31.275,S,No,4.966937979278457
121,0,2,male,21.0,2,0,73.5,S,No,6.199672344836364
123,0,2,male,32.5,1,0,30.0708,C,No,4.91029134459775
125,0,1,male,54.0,0,1,77.2875,S,No,6.27216319537305
130,0,3,male,45.0,0,0,6.975,S,No,2.8021932169418253
131,0,3,male,33.0,0,0,7.8958,C,No,2.981085446903925
132,0,3,male,20.0,0,0,7.05,S,No,2.817623257511431
133,0,3,female,47.0,1,0,14.5,S,No,3.8579809951275723
135,0,2,male,25.0,0,0,13.0,S,No,3.700439718141092
136,0,2,male,23.0,0,0,15.0458,C,No,3.9112889131138373
138,0,1,male,37.0,1,0,53.1,S,No,5.730639955916791
139,0,3,male,16.0,0,0,9.2167,S,No,3.204250292320337
140,0,1,male,24.0,0,0,79.2,C,No,6.307428525192248
144,0,3,male,19.0,0,0,6.75,Q,No,2.7548875021634687
145,0,2,male,18.0,0,0,11.5,S,No,3.523561956057013
146,0,2,male,19.0,1,1,36.75,S,No,5.199672344836364
148,0,3,female,9.0,2,2,34.375,S,No,5.103287808412022
149,0,2,male,36.5,0,2,26.0,S,No,4.700439718141092
150,0,2,male,42.0,0,0,13.0,S,No,3.700439718141092
151,0,2,male,51.0,0,0,12.525,S,No,3.6467386983078462
153,0,3,male,55.5,0,0,8.05,S,No,3.0089887832272546
154,0,3,male,40.5,0,2,14.5,S,No,3.8579809951275723
156,0,1,male,51.0,0,1,61.3792,C,No,5.939677937114794
158,0,3,male,30.0,0,0,8.05,S,No,3.0089887832272546
161,0,3,male,44.0,0,1,16.1,S,No,4.008988783227255
163,0,3,male,26.0,0,0,7.775,S,No,2.95884267524324
164,0,3,male,17.0,0,0,8.6625,S,No,3.1147834472498515
165,0,3,male,1.0,4,1,39.6875,S,No,5.310612781659528
168,0,3,female,45.0,1,4,27.9,S,No,4.802193216941825
170,0,3,male,28.0,0,0,56.4958,S,No,5.820071713841798
171,0,1,male,61.0,0,0,33.5,S,No,5.066089190457772
172,0,3,male,4.0,4,1,29.125,Q,No,4.864186144654281
174,0,3,male,21.0,0,0,7.925,S,No,2.986410935252045
175,0,1,male,56.0,0,0,30.6958,C,No,4.9399693650205805
176,0,3,male,18.0,1,1,7.8542,S,No,2.97346433537819
178,0,1,female,50.0,0,0,28.7125,C,No,4.843607046490561
179,0,2,male,30.0,0,0,13.0,S,No,3.700439718141092
180,0,3,male,36.0,0,0,0.0,S,No,-inf
183,0,3,male,9.0,4,2,31.3875,S,No,4.9721182183841375
189,0,3,male,40.0,1,1,15.5,Q,No,3.9541963103868754
190,0,3,male,36.0,0,0,7.8958,S,No,2.981085446903925
192,0,2,male,19.0,0,0,13.0,S,No,3.700439718141092
198,0,3,male,42.0,0,1,8.4042,S,No,3.071110495135052
200,0,2,female,24.0,0,0,13.0,S,No,3.700439718141092
201,0,3,male,28.0,0,0,9.5,S,No,3.2479275134435857
203,0,3,male,34.0,0,0,6.4958,S,No,2.699507213888535
204,0,3,male,45.5,0,0,7.225,C,No,2.8529975876133165
206,0,3,female,2.0,0,1,10.4625,S,No,3.3871557176629814
207,0,3,male,32.0,1,0,15.85,S,No,3.986410935252045
211,0,3,male,24.0,0,0,7.05,S,No,2.817623257511431
213,0,3,male,22.0,0,0,7.25,S,No,2.8579809951275723
214,0,2,male,30.0,0,0,13.0,S,No,3.700439718141092
218,0,2,male,42.0,1,0,27.0,S,No,4.754887502163468
220,0,2,male,30.0,0,0,10.5,S,No,3.3923174227787602
222,0,2,male,27.0,0,0,13.0,S,No,3.700439718141092
223,0,3,male,51.0,0,0,8.05,S,No,3.0089887832272546
226,0,3,male,22.0,0,0,9.35,S,No,3.2249663650002742
228,0,3,male,20.5,0,0,7.25,S,No,2.8579809951275723
229,0,2,male,18.0,0,0,13.0,S,No,3.700439718141092
232,0,3,male,29.0,0,0,7.775,S,No,2.95884267524324
233,0,2,male,59.0,0,0,13.5,S,No,3.7548875021634687
235,0,2,male,24.0,0,0,10.5,S,No,3.3923174227787602
237,0,2,male,44.0,1,0,26.0,S,No,4.700439718141092
239,0,2,male,19.0,0,0,10.5,S,No,3.3923174227787602
240,0,2,male,33.0,0,0,12.275,S,No,3.6176511194273306
243,0,2,male,29.0,0,0,10.5,S,No,3.3923174227787602
244,0,3,male,22.0,0,0,7.125,S,No,2.8328900141647417
245,0,3,male,30.0,0,0,7.225,C,No,2.8529975876133165
246,0,1,male,44.0,2,0,90.0,Q,No,6.491853096329675
247,0,3,female,25.0,0,0,7.775,S,No,2.95884267524324
250,0,2,male,54.0,1,0,26.0,S,No,4.700439718141092
252,0,3,female,29.0,1,1,10.4625,S,No,3.3871557176629814
253,0,1,male,62.0,0,0,26.55,S,No,4.730639955916791
254,0,3,male,30.0,1,0,16.1,S,No,4.008988783227255
255,0,3,female,41.0,0,2,20.2125,S,No,4.337175868586299
263,0,1,male,52.0,1,1,79.65,S,No,6.315602456637947
