PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,SurvivedStr,FareLog2
2,1,1,female,38.0,1,0,71.2833,C,Yes,6.155492221638225
3,1,3,female,26.0,0,0,7.925,S,Yes,2.986410935252045
4,1,1,female,35.0,1,0,53.1,S,Yes,5.730639955916791
9,1,3,female,27.0,0,2,11.1333,S,Yes,3.4768093774128372
10,1,2,female,14.0,1,0,30.0708,C,Yes,4.91029134459775
11,1,3,female,4.0,1,1,16.7,S,Yes,4.06177619758669
12,1,1,female,58.0,0,0,26.55,S,Yes,4.730639955916791
16,1,2,female,55.0,0,0,16.0,S,Yes,4.0
22,1,2,male,34.0,0,0,13.0,S,Yes,3.700439718141092
23,1,3,female,15.0,0,0,8.0292,Q,Yes,3.005256250067778
24,1,1,male,28.0,0,0,35.5,S,Yes,5.149747119504682
26,1,3,female,38.0,1,5,31.3875,S,Yes,4.9721182183841375
40,1,3,female,14.0,1,0,11.2417,C,Yes,3.490788315154136
44,1,2,female,3.0,1,2,41.5792,C,Yes,5.3777900953362705
45,1,3,female,19.0,0,0,7.8792,Q,Yes,2.9780491557446873
53,1,1,female,49.0,1,0,76.7292,C,Yes,6.2617038079262235
54,1,2,female,29.0,1,0,26.0,S,Yes,4.700439718141092
57,1,2,female,21.0,0,0,10.5,S,Yes,3.3923174227787602
59,1,2,female,5.0,1,2,27.75,S,Yes,4.794415866350106
62,1,1,female,38.0,0,0,80.0,,Yes,6.321928094887363
67,1,2,female,29.0,0,0,10.5,S,Yes,3.3923174227787602
69,1,3,female,17.0,4,2,7.925,S,Yes,2.986410935252045
75,1,3,male,32.0,0,0,56.4958,S,Yes,5.820071713841798
79,1,2,male,0.83,0,2,29.0,S,Yes,4.857980995127572
80,1,3,female,30.0,0,0,12.475,S,Yes,3.640967910449898
82,1,3,male,29.0,0,0,9.5,S,Yes,3.2479275134435857
85,1,2,female,17.0,0,0,10.5,S,Yes,3.3923174227787602
86,1,3,female,33.0,3,0,15.85,S,Yes,3.986410935252045
89,1,1,female,23.0,3,2,263.0,S,Yes,8.038918989292302
98,1,1,male,23.0,0,1,63.3583,C,Yes,5.985461721111822
99,1,2,female,34.0,0,1,23.0,S,Yes,4.523561956057013
107,1,3,female,21.0,0,0,7.65,S,Yes,2.9354597478052895
124,1,2,female,32.5,0,0,13.0,S,Yes,3.700439718141092
