PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,SurvivedStr,FareLog2
1,0,3,male,22.0,1,0,7.25,S,No,2.8579809951275723
2,1,1,female,38.0,1,0,71.2833,C,Yes,6.155492221638225
3,1,3,female,26.0,0,0,7.925,S,Yes,2.986410935252045
4,1,1,female,35.0,1,0,53.1,S,Yes,5.730639955916791
5,0,3,male,35.0,0,0,8.05,S,No,3.0089887832272546
7,0,1,male,54.0,0,0,51.8625,S,No,5.696619846984288
8,0,3,male,2.0,3,1,21.075,S,No,4.39746072605472
9,1,3,female,27.0,0,2,11.1333,S,Yes,3.4768093774128372
10,1,2,female,14.0,1,0,30.0708,C,Yes,4.91029134459775
11,1,3,female,4.0,1,1,16.7,S,Yes,4.06177619758669
12,1,1,female,58.0,0,0,26.55,S,Yes,4.730639955916791
13,0,3,male,20.0,0,0,8.05,S,No,3.0089887832272546
14,0,3,male,39.0,1,5,31.275,S,No,4.966937979278457
15,0,3,female,14.0,0,0,7.8542,S,No,2.97346433537819
16,1,2,female,55.0,0,0,16.0,S,Yes,4.0
17,0,3,male,2.0,4,1,29.125,Q,No,4.864186144654281
19,0,3,female,31.0,1,0,18.0,S,No,4.169925001442312
21,0,2,male,35.0,0,0,26.0,S,No,4.700439718141092
22,1,2,male,34.0,0,0,13.0,S,Yes,3.700439718141092
23,1,3,female,15.0,0,0,8.0292,Q,Yes,3.005256250067778
24,1,1,male,28.0,0,0,35.5,S,Yes,5.149747119504682
25,0,3,female,8.0,3,1,21.075,S,No,4.39746072605472
26,1,3,female,38.0,1,5,31.3875,S,Yes,4.9721182183841375
28,0,1,male,19.0,3,2,263.0,S,No,8.038918989292302
31,0,1,male,40.0,0,0,27.7208,C,No,4.792896987982205
34,0,2,male,66.0,0,0,10.5,S,No,3.3923174227787602
35,0,1,male,28.0,1,0,82.1708,C,No,6.360553907537344
36,0,1,male,42.0,1,0,52.0,S,No,5.700439718141092
38,0,3,male,21.0,0,0,8.05,S,No,3.0089887832272546
39,0,3,female,18.0,2,0,18.0,S,No,4.169925001442312
40,1,3,female,14.0,1,0,11.2417,C,Yes,3.490788315154136
41,0,3,female,40.0,1,0,9.475,S,No,3.2441259432837293
42,0,2,female,27.0,1,0,21.0,S,No,4.392317422778761
44,1,2,female,3.0,1,2,41.5792,C,Yes,5.3777900953362705
45,1,3,female,19.0,0,0,7.8792,Q,Yes,2.9780491557446873
50,0,3,female,18.0,1,0,17.8,S,No,4.153805336079036
51,0,3,male,7.0,4,1,39.6875,S,No,5.310612781659528
52,0,3,male,21.0,0,0,7.8,S,No,2.963474123974886
53,1,1,female,49.0,1,0,76.7292,C,Yes,6.2617038079262235
54,1,2,female,29.0,1,0,26.0,S,Yes,4.700439718141092
55,0,1,male,65.0,0,1,61.9792,C,No,5.953712228264519
57,1,2,female,21.0,0,0,10.5,S,Yes,3.3923174227787602
58,0,3,male,28.5,0,0,7.2292,C,No,2.8538360040379223
59,1,2,female,5.0,1,2,27.75,S,Yes,4.794415866350106
60,0,3,male,11.0,5,2,46.9,S,No,5.551516017628014
61,0,3,male,22.0,0,0,7.2292,C,No,2.8538360040379223
62,1,1,female,38.0,0,0,80.0,,Yes,6.321928094887363
63,0,1,male,45.0,1,0,83.475,S,No,6.383272283175753
64,0,3,male,4.0,3,2,27.9,S,No,4.802193216941825
67,1,2,female,29.0,0,0,10.5,S,Yes,3.3923174227787602
68,0,3,male,19.0,0,0,8.1583,S,No,3.028268559417084
69,1,3,female,17.0,4,2,7.925,S,Yes,2.986410935252045
70,0,3,male,26.0,2,0,8.6625,S,No,3.1147834472498515
71,0,2,male,32.0,0,0,10.5,S,No,3.3923174227787602
72,0,3,female,16.0,5,2,46.9,S,No,5.551516017628014
73,0,2,male,21.0,0,0,73.5,S,No,6.199672344836364
74,0,3,male,26.0,1,0,14.4542,C,No,3.8534168567309104
75,1,3,male,32.0,0,0,56.4958,S,Yes,5.820071713841798
